State or territory,Census population-April-1-2010
California,37254503
Texas,25146105
Florida,18804623
New York,19378087
Pennsylvania,12702887
Illinois,12831549
Ohio,11536725
Georgia,9688681
North Carolina,9535692
Michigan,9884129
New Jersey,8791936
Virginia,8001045
Washington,6724543
Arizona,6392307
Massachusetts,6547817
Tennessee,6346275
Indiana,6484229
Missouri,5988927
Maryland,5773785
Wisconsin,5687289
Colorado,5029324
Minnesota,5303925
South Carolina,4625401
Alabama,4780127
Louisiana,4533479
Kentucky,4339349
Oregon,3831073
Oklahoma,3751616
Connecticut,3574118
Iowa,3046869
Utah,2763888
Mississippi,2968103
Arkansas,2915958
Nevada,2700691
Kansas,2853132
New Mexico,2059192
Nebraska,1826341
West Virginia,1853011
Idaho,1567652
Hawaii,1360301
New Hampshire,1316466
Maine,1328361
Rhode Island,1052931
Montana,989417
Delaware,897936
South Dakota,814191
 North Dakota,672591
Alaska,710249
District of Columbia,601767
Vermont,625745
Wyoming,563767